date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice			
02-2014	14	2	Toronto E07	45	17828144	396181	404000	93	62.2	116	2	103	23	-	11	6881488	625590	660000	19	15	102	4	4	2340800	585200	606400	4	2	110	12	4	1647000	411750	406000	5	4	104	21	21	4552688	216795	227000	56	91	98	40	2	966168	483084	483084	1	-	112	4	23	5518856	239950.2609			
02-2014	14	2	Toronto E08	35	13991999	399771	450000	60	59.5	66	2.2	100	26	-	19	10250100	539479	495000	32	33	102	26	1	459900	459900	459900	2	2	100	16	2	512000	256000	256000	5	4	99	29	13	2769999	213077	185000	21	27	97	27	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Toronto E09	64	23024676	359761	364000	127	60.6	155	2.1	100	23	-	29	13613900	469445	453000	42	33	101	23	4	1548500	387125	387750	3	1	101	9	2	430000	215000	215000	7	10	92	29	29	7432276	256285	257500	75	109	98	25	-	-	-	-	-	2	-	-	-	-	-			
02-2014	14	2	Toronto E10	34	16568800	487318	484500	58	59.1	87	2.2	102	23	-	24	13650800	568783	536000	43	55	103	19	2	680000	340000	340000	2	-	107	5	2	353000	176500	176500	7	19	96	33	2	420000	210000	210000	3	8	98	36	3	1310000	436667	430000	3	3	99	43	5	1730000	346000			
02-2014	14	2	Toronto E11	62	22084965	356209	353000	92	66.5	90	1.8	100	21	-	20	10263900	513195	466500	26	16	100	17	10	3819300	381930	367950	12	8	102	14	6	1521800	253633	267200	15	23	100	18	15	2577865	171858	172990	28	39	98	42	9	3196100	355122	330000	10	4	102	10	24	5773965	240581.875			
02-2014	14	2	Toronto East	577	278185477	482124	468000	1004	62.7	1005	1.7	103	20	-	236	142592925	604207	544000	407	336	103	15	99	57435975	580161	581000	135	76	107	12	39	13280800	340533	338500	81	98	101	23	162	44753616	276257	244000	324	456	98	34	34	17150361	504422	483084	46	32	105	18	196	61903977	315836.6173			
02-2014	14	2	Toronto W01	33	16859468	510893	373000	89	52.9	118	2.6	100	37	-	6	6402000	1067000	918500	16	19	100	30	2	1763480	881740	881740	9	9	113	9	1	220000	220000	220000	4	5	96	27	22	7828988	355863	329500	52	79	98	43	1	400000	400000	400000	5	4	96	24	23	8228988	357782.087			
02-2014	14	2	Toronto W02	51	33931055	665315	650000	74	69.7	73	1.3	106	18	-	19	16024755	843408	821000	23	15	106	19	14	9663100	690221	700500	21	10	112	8	5	2346400	469280	451900	6	3	103	9	11	4631800	421073	322900	22	43	99	34	2	1265000	632500	632500	1	1	99	8	13	5896800	453600			
02-2014	14	2	Toronto W03	32	14087000	440219	427500	69	67.4	63	1.5	100	19	-	16	8174500	510906	457500	37	35	99	23	8	3709500	463688	415000	15	10	102	11	-	-	-	-	3	4	-	-	7	1858000	265429	240000	11	12	98	21	1	345000	345000	345000	3	2	105	1	8	2203000	275375			
02-2014	14	2	Toronto W04	47	18996990	404191	390000	75	62.3	94	2.2	99	20	-	19	11167390	587757	565000	40	39	99	13	3	1313500	437833	493000	4	5	103	34	8	2667300	333413	327500	10	9	98	28	16	3273800	204613	189000	21	41	98	22	1	575000	575000	575000	-	-	101	18	17	3848800	226400			
